Subject,Method,Sensitivity,Sensitivity_1,Specificity,Accuracy,AUROC,Threshold,PredTime_sec
20032,Filter,1,1,0.5,0.75,0.427777777777778,29.5459094121727,368
20035,Filter,1,1,1,1,0.922222222222222,31.0558324529002,448
20037,Filter,1,1,1,1,0.969444444444444,31.7000780356171,448
20041,Filter,1,1,0,0.5,0.652777777777778,30.485491158404,224
20046,Filter,0,0,1,0.5,0.355555555555556,31.0558324529002,NaN
20047,Filter,0,0,1,0.5,0.755555555555556,31.0558324529002,NaN
20048,Filter,0.5,0.5,1,0.75,0.816666666666667,31.7000780356171,192
20050,Filter,1,1,1,1,0.977777777777778,31.7000780356171,448
20053,Filter,0,0,1,0.5,1,31.7000780356171,NaN
20054,Filter,0,0,1,0.5,0.513636363636364,31.7000780356171,NaN
20056,Filter,0,0,1,0.5,0.966666666666667,31.0558324529002,NaN
10030,Wavelet,0.5,0.5,1,0.75,0.994444444444444,3.89870166787183,416
10034,Wavelet,1,1,1,1,1,3.80815922567617,384
10042,Wavelet,0,0,1,0.5,0.938888888888889,3.89870166787183,NaN
10047,Wavelet,0,0,1,0.5,0.677777777777778,3.80815922567617,NaN
10048,Wavelet,1,1,0,0.5,0.169444444444444,3.26121766472647,448
10049,Wavelet,1,1,1,1,1,3.80815922567617,416
10052,Wavelet,0.5,0.5,1,0.75,0.666666666666667,3.89870166787183,32
10053,Wavelet,0,0,1,0.5,0.972222222222222,3.89870166787183,NaN
10054,Wavelet,1,1,1,1,0.538461538461538,3.66018810655644,224
10055,Wavelet,0.5,0.5,1,0.75,0.716666666666667,3.89870166787183,32
10057,Wavelet,1,1,1,1,0.866666666666667,3.80815922567617,192
10058,Wavelet,0,0,1,0.5,0.988888888888889,3.80815922567617,NaN
20001,Wavelet,0.5,0.5,1,0.75,0.328125,3.89870166787183,0
20007,Wavelet,1,1,1,1,1,3.80815922567617,448
20015,Wavelet,0,0,1,0.5,0.186111111111111,3.89870166787183,NaN
20020,Wavelet,1,1,1,1,0.977777777777778,3.80815922567617,448
20021,Wavelet,1,1,1,1,0.955555555555556,3.80815922567617,448
20027,Wavelet,1,1,1,1,1,3.80815922567617,448
20029,Wavelet,1,1,0,0.5,0.233333333333333,3.66018810655644,128
20032,Wavelet,1,1,0.5,0.75,0.511111111111111,3.47004749088213,240
20035,Wavelet,1,1,1,1,1,3.80815922567617,448
20037,Wavelet,1,1,0.5,0.75,0.95,3.56449975533649,448
20041,Wavelet,1,1,0.5,0.75,0.944444444444445,3.80815922567617,368
20046,Wavelet,0,0,0,0,0.822222222222222,3.66018810655644,NaN
20047,Wavelet,0,0,1,0.5,0.255555555555556,3.80815922567617,NaN
20048,Wavelet,0.5,0.5,1,0.75,0.9,3.89870166787183,416
20050,Wavelet,1,1,0.5,0.75,0.938888888888889,3.80815922567617,448
20053,Wavelet,1,1,1,1,1,3.89870166787183,448
20054,Wavelet,0.5,0.5,1,0.75,0.597727272727273,3.89870166787183,64
20056,Wavelet,0,0,1,0.5,1,3.80815922567617,NaN
10030,Billal,0.5,0.5,1,0.75,0.972222222222222,5.09062857709008,416
10034,Billal,1,1,1,1,1,5.04571724585044,448
10042,Billal,0.5,0.5,1,0.75,0.883333333333333,5.09062857709008,0
10047,Billal,1,1,1,1,0.644444444444444,5.04571724585044,64
10048,Billal,1,1,0,0.5,0.169444444444444,3.65501515152787,448
10049,Billal,1,1,1,1,1,5.04571724585044,288
10052,Billal,1,1,1,1,0.625,5.09062857709008,16
10053,Billal,0,0,1,0.5,1,5.09062857709008,NaN
10054,Billal,1,1,1,1,0.528846153846154,5.04571724585044,192
10055,Billal,1,1,1,1,0.775,5.09062857709008,0
10057,Billal,1,1,1,1,0.677777777777778,5.04571724585044,192
10058,Billal,0,0,1,0.5,0.922222222222222,5.04571724585044,NaN
20001,Billal,0.5,0.5,1,0.75,0.34375,5.09062857709008,0
20007,Billal,1,1,1,1,1,5.04571724585044,448
20015,Billal,0,0,1,0.5,0.152777777777778,5.09062857709008,NaN
20020,Billal,1,1,1,1,1,5.04571724585044,416
20021,Billal,1,1,1,1,0.9,5.04571724585044,448
20027,Billal,1,1,1,1,1,5.04571724585044,448
20029,Billal,0,0,0,0,0.355555555555556,5.03901877248602,NaN
20032,Billal,1,1,0.5,0.75,0.519444444444444,4.33626412327833,416
20035,Billal,1,1,1,1,1,5.04571724585044,448
20037,Billal,1,1,0.5,0.75,0.927777777777778,4.55361085661308,448
20041,Billal,1,1,0.5,0.75,0.944444444444445,5.03901877248602,352
20046,Billal,1,1,0,0.5,0.788888888888889,5.03901877248602,192
20047,Billal,0,0,1,0.5,0.755555555555556,5.04571724585044,NaN
20048,Billal,0.5,0.5,1,0.75,0.838888888888889,5.09062857709008,448
20050,Billal,1,1,1,1,0.880555555555556,5.09062857709008,448
20053,Billal,1,1,0.5,0.75,1,5.04571724585044,448
20054,Billal,0.5,0.5,1,0.75,0.7,5.09062857709008,64
20056,Billal,0,0,1,0.5,1,5.04571724585044,NaN
