Subject,Method,Sensitivity,Sensitivity_1,Specificity,Accuracy,AUROC,Threshold,PredTime_sec
20032,Filter,1,1,0.5,0.75,0.416666666666667,1.99337985148995,224
20035,Filter,1,1,1,1,0.988888888888889,2.13935139920804,448
20037,Filter,1,1,0.5,0.75,0.975,2.04979004827432,448
20041,Filter,1,1,1,1,0.761111111111111,2.23264230046194,224
20046,Filter,0,0,0,0,0.788888888888889,2.04979004827432,NaN
20047,Filter,0,0,1,0.5,0.8,2.13935139920804,NaN
20048,Filter,1,1,1,1,0.913888888888889,2.23264230046194,304
20050,Filter,1,1,1,1,0.966666666666667,2.23264230046194,432
20053,Filter,1,1,1,1,1,2.23264230046194,448
20054,Filter,0,0,1,0.5,0.65,2.23264230046194,NaN
20056,Filter,0,0,1,0.5,1,2.13935139920804,NaN
10030,Wavelet,0.5,0.5,1,0.75,0.997222222222222,0.825865465647933,416
10034,Wavelet,1,1,1,1,1,0.825306302747038,416
10042,Wavelet,0,0,1,0.5,0.966666666666667,0.825865465647933,NaN
10047,Wavelet,0,0,1,0.5,0.688888888888889,0.825306302747038,NaN
10048,Wavelet,1,1,0,0.5,0.158333333333333,0.549836129889511,432
10049,Wavelet,1,1,1,1,1,0.825306302747038,128
10052,Wavelet,0.5,0.5,1,0.75,0.691666666666667,0.825865465647933,0
10053,Wavelet,0,0,1,0.5,0.988888888888889,0.825865465647933,NaN
10054,Wavelet,1,1,1,1,0.605769230769231,0.743199075671733,224
10055,Wavelet,0,0,1,0.5,0.736111111111111,0.825865465647933,NaN
10057,Wavelet,1,1,1,1,0.822222222222222,0.825306302747038,192
10058,Wavelet,0,0,1,0.5,1,0.825306302747038,NaN
20001,Wavelet,0.5,0.5,1,0.75,0.334375,0.9500995841232,0
20007,Wavelet,1,1,1,1,1,0.825306302747038,448
20015,Wavelet,0,0,1,0.5,0.155555555555556,0.825865465647933,NaN
20020,Wavelet,1,1,1,1,0.988888888888889,0.825306302747038,448
20021,Wavelet,1,1,1,1,0.988888888888889,0.825306302747038,448
20027,Wavelet,1,1,1,1,1,0.825306302747038,448
20029,Wavelet,1,1,0,0.5,0.311111111111111,0.660836053693777,448
20032,Wavelet,1,1,0.5,0.75,0.502777777777778,0.614946035907752,416
20035,Wavelet,1,1,1,1,1,0.825306302747038,448
20037,Wavelet,1,1,0.5,0.75,0.908333333333333,0.681019259441741,448
20041,Wavelet,1,1,0.5,0.75,0.922222222222222,0.825306302747038,320
20046,Wavelet,0,0,0,0,0.833333333333333,0.743199075671733,NaN
20047,Wavelet,0,0,1,0.5,0.355555555555556,0.825306302747038,NaN
20048,Wavelet,0.5,0.5,1,0.75,0.905555555555556,0.825865465647933,416
20050,Wavelet,1,1,1,1,0.897222222222222,0.825865465647933,448
20053,Wavelet,1,1,1,1,1,0.825865465647933,448
20054,Wavelet,0.5,0.5,1,0.75,0.590909090909091,0.825865465647933,0
20056,Wavelet,0,0,1,0.5,1,0.825306302747038,NaN
10030,Billal,0.5,0.5,1,0.75,0.966666666666667,0.706542546123881,416
10034,Billal,1,1,1,1,1,0.679471295030508,448
10042,Billal,0,0,1,0.5,0.869444444444444,0.706542546123881,NaN
10047,Billal,1,1,1,1,0.744444444444444,0.679471295030508,32
10048,Billal,1,1,0,0.5,0.222222222222222,0.509102060780672,448
10049,Billal,1,1,1,1,1,0.679471295030508,416
10052,Billal,1,1,1,1,0.566666666666667,0.706542546123881,16
10053,Billal,0,0,1,0.5,0.994444444444444,0.706542546123881,NaN
10054,Billal,0,0,1,0.5,0.548076923076923,0.679471295030508,NaN
10055,Billal,1,1,1,1,0.813888888888889,0.706542546123881,16
10057,Billal,1,1,1,1,0.688888888888889,0.679471295030508,192
10058,Billal,0,0,1,0.5,0.944444444444445,0.679471295030508,NaN
20001,Billal,1,1,1,1,0.33125,0.569063896584057,0
20007,Billal,1,1,1,1,1,0.679471295030508,448
20015,Billal,0,0,1,0.5,0.169444444444444,0.706542546123881,NaN
20020,Billal,1,1,1,1,1,0.679471295030508,416
20021,Billal,1,1,1,1,0.9,0.679471295030508,448
20027,Billal,1,1,1,1,1,0.679471295030508,448
20029,Billal,0,0,1,0.5,0.333333333333333,0.679471295030508,NaN
20032,Billal,1,1,0.5,0.75,0.519444444444444,0.57761405758243,336
20035,Billal,1,1,1,1,1,0.679471295030508,416
20037,Billal,1,1,0.5,0.75,0.938888888888889,0.614418061979052,448
20041,Billal,1,1,1,1,0.991666666666667,0.706542546123881,288
20046,Billal,1,1,0,0.5,0.833333333333333,0.659377757573094,320
20047,Billal,0,0,1,0.5,0.811111111111111,0.679471295030508,NaN
20048,Billal,1,1,1,1,0.880555555555556,0.706542546123881,320
20050,Billal,1,1,0.5,0.75,0.861111111111111,0.659377757573094,448
20053,Billal,1,1,1,1,1,0.706542546123881,448
20054,Billal,0.5,0.5,1,0.75,0.679545454545455,0.706542546123881,64
20056,Billal,1,1,1,1,1,0.679471295030508,0
